,variavel,significado,tipo
,ID,Identificador unico,Inteiro
X1,LIMIT_BAL,Valor do crédito concedido,Novo Dolár Taiwanês
X2,SEX,Genero ,1= masculino; 2= feminino
X3,EDUCATION,Educação Nivel de Escolaridade,1 = pós-graduação; 2 = universidade; 3 = ensino médio; 4 = outros
X4,MARRIAGE,Estado civil,1 = casado; 2 = solteiro; 3 = outros
X5,AGE,Idade,Ano
X6,PAY_0,Status do pagamento em setembro de 2005,-1 = pago em dia; 1 = atraso no pagamento por um mês; 2 = atraso no pagamento por dois meses; ...; assim por diante
X7,PAY_2,status do pagamento em agosto de 2005,-1 = pago em dia; 1 = atraso no pagamento por um mês; 2 = atraso no pagamento por dois meses; ...; assim por diante
X8,PAY_3,status do pagamento em julho de 2005,-1 = pago em dia; 1 = atraso no pagamento por um mês; 2 = atraso no pagamento por dois meses; ...; assim por diante
X9,PAY_4,status do pagamento em junho de 2005,-1 = pago em dia; 1 = atraso no pagamento por um mês; 2 = atraso no pagamento por dois meses; ...; assim por diante
X10,PAY_5,status do pagamento em maio de 2005,-1 = pago em dia; 1 = atraso no pagamento por um mês; 2 = atraso no pagamento por dois meses; ...; assim por diante
X11,PAY_6,status do pagamento em abril de 2005,-1 = pago em dia; 1 = atraso no pagamento por um mês; 2 = atraso no pagamento por dois meses; ...; assim por diante
X12,BILL_AMT1,Valor do extrato da conta em setembro de 2005,Novo Dolár Taiwanês
X13,BILL_AMT2,Valor do extrato da conta em agosto de 2005,Novo Dolár Taiwanês
X14,BILL_AMT3,Valor do extrato da conta em julho de 2005,Novo Dolár Taiwanês
X15,BILL_AMT4,Valor do extrato da conta em junho de 2005,Novo Dolár Taiwanês
X16,BILL_AMT5,Valor do extrato da conta em maio de 2005,Novo Dolár Taiwanês
X17,BILL_AMT6,Valor do extrato da conta em abril de 2005,Novo Dolár Taiwanês
X18,PAY_AMT1,Valor pago em setembro de 2005,Novo Dolár Taiwanês
X19,PAY_AMT2,Valor pago em agosto de 2005,Novo Dolár Taiwanês
X20,PAY_AMT3,Valor pago em julho de 2005,Novo Dolár Taiwanês
X21,PAY_AMT4,Valor pago em junho de 2005,Novo Dolár Taiwanês
X22,PAY_AMT5,Valor pago em maio de 2005,Novo Dolár Taiwanês
X23,PAY_AMT6,Valor pago em abril de 2005,Novo Dolár Taiwanês
Y,default payment next month,Empregada na pesquisa como varievel de resposta,Variavel binaria
